"lat","lng","color","name","sid","nid"
"28.6307894","77.2755341","#adffbc","shared_peach","vYzGes8ER6dX","i291"
"21.0065791","77.8104596","#efaeba","gothic_magenta","svSlwIVkVHaT","i292"
"28.5334031","77.0486539","#efa7d0","continuing_brown","acgr25TA0j3U","i293"
"23.2609766","77.4285026","#3671b5","dangerous_amethyst","PkZ5pmHcuNum","i294"
"11.1095433","76.0518483","#8d5fdd","wet_crimson","4n-EAz4vGLiD","i295"
"28.6441833","77.2313283","#31ce34","agreeable_blush","QH6R_X4Ha_3W","i296"
"28.8044286","77.0553853","#ccf79e","obliged_crimson","qnGFdmHX-ZkR","i297"
"19.0409661","72.8509427","#43c659","busy_sapphire","LSMX4QgmNndZ","i298"
"18.9590500","72.8169167","#efa5a6","funny_white","odU9yMsEZrfy","i299"
"23.2632148","77.4270450","#2055f7","scary_moccasin","r1P5_os_Etqs","i300"
"14.8769297","74.1153126","#fceda4","eerie_amethyst","kn-gZvY_mwbR","i301"
"17.4348257","78.4436258","#7cffb3","vulnerable_silver","xQz1HwgAVEV8","i302"
"28.4750615","77.5101458","#6af293","shocked_amaranth","Sm01qDIH2Vfs","i303"
"28.4927958","77.0216211","#7cffe0","naval_bronze","kWNka3Rn6LKp","i304"
"21.1736742","72.8543172","#6051d6","thirsty_amethyst","agO2o_vxVCt8","i305"
"28.6330095","77.3089526","#f41fc3","dull_amaranth","AQhP5RfnVFmG","i306"
"20.2892193","85.8495718","#108893","silky_chocolate","lQhE0QHHjJWD","i307"
"19.0184616","73.0369672","#f7bc1b","electoral_white","cLLeIdda_3Zf","i308"
"12.9260222","79.1338025","#db64b1","breakable_teal","AHSzrkDzg4GC","i309"
"18.4256706","73.8112947","#161982","tired_brown","GaOiMoc0gn1o","i310"
"28.5421813","77.1862641","#c922b8","lesser_aqua","Iic9ppqSGVMK","i311"
"17.6861189","83.2439751","#da74e8","compact_fuchsia","j4f1rJSRrXbs","i312"
"17.3910159","78.3595574","#77cc43","fat_copper","OC_LzN-KNOQr","i313"
"12.9490570","77.6147567","#f5fca6","english_yellow","WVrjanST3DjA","i314"
"28.8804785","77.1153698","#b4ffaa","useful_tomato","GcMscZ_PjCrz","i315"
"18.9629510","72.8307605","#ba393b","gigantic_white","YXS5p3LVuDxy","i316"
"28.5932368","77.3096469","#55fc98","responsible_pink","ZRWL6RRc96Y3","i317"
"22.1560134","70.7870415","#f7e5b4","manual_silver","hJy_P-0LUtu-","i318"
"28.7078000","77.2048801","#e58ec8","straightforward_tan","-6ipt46bkq_D","i319"
"13.0474216","77.7647373","#f9d2c0","individual_crimson","94WJT5y-ymQB","i320"
"28.4408649","76.9952278","#79b2fc","atomic_black","UOJdBcxq0dHf","i321"
"11.3878997","77.8926474","#b5fc58","integral_sapphire","nIi73YVDdaBc","i322"
"28.5481650","77.1015683","#6d52b7","civil_apricot","F7Q2zQ19BrhN","i323"
"13.0974112","77.9847921","#961be2","correct_bronze","jR4Abcy3Tgpw","i324"
"12.8821734","77.6014943","#b3f490","moderate_salmon","veKJR8r9aTd-","i325"
"21.1669796","72.8690859","#8ad852","linguistic_bronze","rJebKWIOqq2t","i326"
